Package,Login,Id,Contributions
https://github.com/tableau/rest-api-samples,"['dzucker-tab', 'jdomingu', 'mbren', 'shinchris', 'jacalata', 'aaroncarey', 'd45', 'benlower', 'rojoleon', 'carelessproperty', 'delphinium', 'LeeGuoPing']","[49076749, 5760201, 302381, 10054801, 2009720, 31550444, 10718717, 476553, 33497985, 20501753, 723529, 35389145]","[24, 11, 10, 8, 7, 5, 5, 4, 1, 1, 1, 1]"
https://github.com/tableau/document-api-python,"['t8y8', 'jacalata', 'benlower', 'graysonarts', 'jdomingu', 'bcantoni', 'd45', 'mpope-tableau', 'chid', 'MiguelSR', 'DocAdam', 'carlsonp', 'shoheichura', 'mmuttreja-tableau']","[4370533, 2009720, 476553, 94549, 5760201, 58372, 10718717, 16768785, 23526, 4849000, 14201899, 1167797, 64582258, 87720143]","[50, 25, 18, 14, 9, 5, 3, 3, 2, 2, 1, 1, 1, 1]"
https://github.com/tableau/VizAlerts,"['mcoles', 'jdrummey', 'benlower', 'james-baker', 'stevenqzhang']","[14928335, 376369, 476553, 89615, 3338723]","[121, 7, 1, 1, 1]"
https://github.com/tableau/hyper-api-samples,"['tsjoblad', 'FrancoisZim', 'jonas-eckhardt', 'vogelsgesang', 'mosenberg', 'djfrancesco', 'wolfroediger', 'benlower', 'd45', 'alendit', 'TableauKyle', 'mattirish', 'rbrunel-tableau', 'turner-anderson', 'jkammerer', 'mschreier-tableau']","[37589514, 8554879, 49648944, 6820896, 42899995, 35044397, 109283644, 476553, 10718717, 81117, 92327461, 42956208, 84327198, 61035514, 57443493, 88497008]","[61, 12, 9, 6, 3, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
https://github.com/tableau/community-tableau-server-insights,"['mcoles', 'james-baker']","[14928335, 89615]","[32, 1]"
https://github.com/tableau/connector-plugin-sdk,"['lukewrites', 'pvanderknyff', 'lriggs', 'jainam1995', 'saugatt', 'rosswbrown', 'atalukdar123', 'wangxinlei', 'sxlin', 'chrisjunlee', 'devanshsoni9', 'erademacher', 'sidwray', 'yellowYou', 'LingyanYin', 'kpwilson', 'sonia0504', 'danliusf', 'liyunbao', 'tsjoblad', 'krhodes-tableau', 'jinli-dev', 'jd-dean', 'jordanw-bq', 'sonia9703', 'tabsdavis', 'jie-d', 'gs-manvig', 'icooptableau', 'suwei111333']","[5643640, 44209267, 22670710, 6175609, 14967333, 6444215, 55718930, 9013189, 12565335, 12912753, 14172242, 44209290, 13004792, 25290080, 3370438, 44209211, 25831830, 110422257, 20933524, 37589514, 72282475, 60161134, 54963228, 37088125, 22923039, 94926028, 26658661, 69285843, 28989013, 2128873]","[424, 285, 161, 103, 88, 34, 24, 17, 16, 13, 11, 9, 9, 8, 8, 7, 7, 7, 6, 6, 5, 4, 3, 3, 3, 3, 2, 2, 2, 2]"
https://github.com/tableau/server-install-script-samples,"['kittychou', 'jcase', 'ShuaiYe2017', 'mydittle', 'rbrewer', 'jsoref', 'cowens5', 'ssross0410', 'benlower', 'bcantoni', 'flomotlik', 'james-baker', 'altmas5', 'pvanz']","[20780411, 206318, 34491391, 35812855, 384469, 2119212, 19965432, 8285563, 476553, 58372, 132653, 89615, 1054618, 22040356]","[43, 33, 21, 17, 16, 5, 3, 2, 1, 1, 1, 1, 1, 1]"
https://github.com/tableau/altimeter,"['jbmchuck', 'katdev', 'manelmontilla', 'Cemito', 'jroimartin', 'james-baker', 'bechbd']","[5964742, 8812173, 87574, 17511484, 1223476, 89615, 6898505]","[187, 8, 7, 3, 3, 1, 1]"
https://github.com/tableau/tabcmd,"['ovinis', 'jacalata', 'WillAyd', 'dependabot[bot]', 'bcantoni']","[44311587, 2009720, 609873, 49699333, 58372]","[104, 91, 4, 4, 3]"
https://github.com/tableau/octopus-python-client,"['tonythebest', 'kongda', 'james-baker', 'jbristowe']","[3278731, 10284553, 89615, 71493]","[69, 2, 1, 1]"
